position	cityname	population
01	São Luís	1101884
02	Imperatriz	258682
03	São José de Ribamar	177687
04	Timon	169107
05	Caxias	164880
06	Codó	122859
07	Paço do Lumiar	122197
08	Açailândia	112445
09	Bacabal	104949
10	Balsas	94887
11	Santa Inês	89044
12	Barra do Corda	88212
13	Pinheiro	83387
14	Chapadinha	79675
15	Santa Luzia	72667
16	Buriticupu	72358
17	Grajaú	69527
18	Itapecuru-Mirim	68203
19	Coroatá	65296
20	Barreirinhas	62528
21	Tutoia	58860
22	Vargem Grande	56510
23	Viana	52441
24	Zé Doca	51714
25	Lago da Pedra	50266
26	Coelho Neto	49435
27	Presidente Dutra	47804
28	Araioses	46440
29	São Bento	45211
30	Rosário	42740
31	Santa Helena	42130
32	Estreito	41946
33	Tuntum	41832
34	Bom Jardim	41630
35	São Mateus do Maranhão	41529
36	Amarante do Maranhão	41435
37	Colinas	41178
38	Pedreiras	39229
39	Penalva	38470
40	Santa Rita	37855
41	Brejo	36397
42	Turiaçu	35604
43	Parnarama	34907
44	São Domingos do Maranhão	34376
45	Bom Jesus das Selvas	34028
46	Matões	33782
47	Monção	33434
48	Urbano Santos	33122
49	Pindaré-Mirim	32941
50	Vitória do Mearim	32764
51	Cururupu	32695
52	Arame	32701
53	Alto Alegre do Pindaré	31919
54	Vitorino Freire	31523
55	Raposa	30761
56	Arari	29848
57	Buriti	28678
58	Timbiras	29124
59	Humberto de Campos	28717
60	São Bernardo	28507
61	Miranda do Norte	28381
62	Icatu	27113
63	Alto Alegre do Maranhão	27053
64	Anajatuba	26803
65	Aldeias Altas	26532
66	Itinga do Maranhão	26000
67	São João dos Patos	25929
68	Santa Quitéria do Maranhão	25642
69	Turilândia	25619
70	Governador Nunes Freire	25577
71	Santa Luzia do Paruá	25254
72	Pedro do Rosário	25144
73	Carolina	24322
74	Porto Franco	23885
75	Buriti Bravo	23884
76	João Lisboa	23632
77	Carutapera	23807
78	Matinha	23370
79	Dom Pedro	23350
80	Peritoró	23196
81	São Vicente Ferrer	22247
82	Alcântara	22097
