NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
Municípios;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;1520
AÇAILÂNDIA;2578;51;;6683;98270;92088;;10 a 19 anos;4962
AFONSO CUNHA;78;1;;;;;;20 a 29 anos;13389
ÁGUA DOCE DO MARANHÃO;347;5;;CASOS NOVOS;;;;30 a 39 anos;18839
ALCÂNTARA;32;5;;Grande Ilha;154;;;40 a 49 anos;15185
ALDEIAS ALTAS;87;0;;Imperatriz;73;;;50 a 59 anos;10582
ALTAMIRA DO MARANHÃO;140;5;;Demais Regiões;1.610;;;60 a 70 anos;8007
ALTO ALEGRE DO MARANHÃO;318;9;;;;;;Mais de 70 anos;6821
ALTO ALEGRE DO PINDARÉ;1132;2;;;;;;Não informado;12783
ALTO PARNAÍBA;73;1;;CASOS CONFIRMADOS;;;;TOTAL;92088
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;515;11;;Ativos;18875;Isolamento Domiciliar ;18026;;
ANAJATUBA;231;6;;;;Internação Enfermaria;509;Rede Pública;441
ANAPURUS;517;4;;;;;;Rede Privada;68
APICUM-AÇU;196;3;;;;Internação UTI;340;Rede Pública;290
ARAGUANÃ;415;2;;;;;;Rede Privada;50
ARAIOSES;435;5;;Óbitos;2286;;;;
ARAME;151;4;;Recuperados;70927;;;;
ARARI;163;4;;;;;;GRANDE ILHA*;
AXIXÁ;63;2;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;2101;21;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;452
BACABEIRA;123;1;;HOMEM;41678;45%;;Leitos ocupados;115
BACURI;363;2;;MULHER;50410;55%;;Leitos livres;337
BACURITUBA;18;0;;;;;;% de ocupação;25,44%
BALSAS;1224;9;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;13;0;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;1822;16;;2546;2381;50;;Total de leitos UTI;176
BARREIRINHAS;328;17;;;;;;Leitos ocupados UTI;138
BELA VISTA DO MARANHÃO;108;2;;;;;;Leitos livres;38
BELÁGUA;158;1;;TESTES REALIZADOS;;;;% de ocupação UTI;78,41%
BENEDITO LEITE;20;0;;LABORATÓRIO PÚBLICO;3911;;;;
BEQUIMÃO;170;9;;LABORATÓRIO PRIVADO;159;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;187217;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;12;2;;TOTAL;191287;;;Total de leitos;618
BOM JARDIM;525;6;;;;;;Leitos ocupados;265
BOM JESUS DAS SELVAS;774;4;;;;;;Leitos livres;353
BOM LUGAR;147;0;;ÓBITOS DE COVID-19;;;;% de ocupação;42,88%
BREJO;418;11;;;;;;;
BREJO DE AREIA;104;0;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;247;0;;0 a 9 anos;14;;;Total de leitos UTI;219
BURITI BRAVO;47;0;;10 a 19 anos;13;;;Leitos ocupados UTI;109
BURITICUPU;1248;4;;20 a 29 anos;24;;;Leitos livres;110
BURITIRANA;208;6;;30 a 39 anos;79;;;% de ocupação UTI;49,77%
CACHOEIRA GRANDE;78;3;;40 a 49 anos;139;;;;
CAJAPIÓ;5;2;;50 a 59 anos;246;;;IMPERATRIZ;
CAJARI;119;1;;60 a 69 anos;545;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;177;1;;Mais de 70 anos;1226;;;Total de leitos;81
CÂNDIDO MENDES;24;4;;TOTAL;2286;;;Leitos ocupados;61
CANTANHEDE;341;1;;;;;;Leitos livres;20
CAPINZAL DO NORTE;256;0;;;;;;% de ocupação;75,31%
CAROLINA;151;0;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;245;15;;HOMEM;1416;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;1934;22;;MULHER;870;38%;;Total de leitos UTI;54
CEDRAL;93;0;;;;;;Leitos ocupados UTI;43
CENTRAL DO MARANHÃO;16;1;;;;;;Leitos livres;11
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;79,63%
CENTRO NOVO DO MARANHÃO;300;5;;COM COMORBIDADES ;1986;87%;;;
CHAPADINHA;1906;27;;SEM COMORBIDADES ;300;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;218;0;;;;;;;
CODÓ;1781;14;;;;;;;
COELHO NETO;1150;21;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;582;12;;NEUROLÓGICO;139;;;;
CONCEIÇÃO DO LAGO-AÇU;138;3;;ONCOLÓGICO;89;;;RAÇA/COR;Nº ABS 
COROATÁ;552;6;;PNEUMOPATIA;23;;;PARDA;993
CURURUPU;272;5;;CARDIOPATIA;270;;;BRANCA;196
DAVINÓPOLIS;199;6;;DOENÇA RENAL CRÔNICA;135;;;PRETA;134
DOM PEDRO;47;1;;DIABETES MELITUS;884;;;AMARELA;181
DUQUE BACELAR;221;3;;HIPERTENSÃO ARTERIAL;1285;;;SEM INFORMAÇÃO;782
ESPERANTINÓPOLIS;536;9;;SEM COMORBIDADES;333;;;TOTAL;2286
ESTREITO;661;7;;OBESIDADE;100;;;;
FEIRA NOVA DO MARANHÃO;29;1;;OUTROS;316;;;;
FERNANDO FALCÃO;435;0;;;;;;;
FORMOSA DA SERRA NEGRA;80;1;;;;;;;
FORTALEZA DOS NOGUEIRAS;62;0;;;;;;;
FORTUNA;149;0;;;;;;RACA/COR;Contagem
GODOFREDO VIANA;61;2;;;;;;AMARELA;11.890
GONÇALVES DIAS;77;1;;;;;;BRANCA;7.364
GOVERNADOR ARCHER;187;0;;;;;;PARDA;30.546
GOVERNADOR EDISON LOBÃO;174;4;;;;;;PRETA;2.937
GOVERNADOR EUGÊNIO BARROS;128;0;;;;;;SEM INFORMAÇÃO;39.351
GOVERNADOR LUIZ ROCHA;32;0;;;;;;;92088
GOVERNADOR NEWTON BELLO;320;4;;;;;;;
GOVERNADOR NUNES FREIRE;580;1;;;;;;;
GRAÇA ARANHA;104;1;;;;;;;
GRAJAÚ;1171;18;;;;;;;
GUIMARÃES;141;4;;Caso confirmado: Positivo na testagem (RT-PCR, teste rápido ou sorológico);;;;;
HUMBERTO DE CAMPOS;231;3;;;;;;;
ICATU;165;5;;Caso descartado: Negativo na testagem (RT-PCR, teste rápido ou sorológico);;;;;
IGARAPÉ DO MEIO;153;4;;;;;;;
IGARAPÉ GRANDE;587;5;;Caso suspeito: Paciente sintomático aguardando resultado de teste;;;;;
IMPERATRIZ;4309;213;;;;;;;
ITAIPAVA DO GRAJAÚ;99;0;;Fontes;;;;;
ITAPECURU-MIRIM;468;5;;Gerenciador de Ambiente Laboratorial;;;;;
ITINGA DO MARANHÃO;417;10;;eSUS-VE - DATASUS;;;;;
JATOBÁ;29;0;;Notifica COVID-19 Maranhão;;;;;
JENIPAPO DOS VIEIRAS;137;2;;;;;;;
JOÃO LISBOA;202;7;;Óbitos: Pacientes com resultados positivos e atestado de óbito para Síndrome Respiratória Aguda Grave - Covid-19;;;;;
JOSELÂNDIA;271;0;;;;;;;
JUNCO DO MARANHÃO;98;0;;Fontes;;;;;
LAGO DA PEDRA;897;40;;Gerenciador de Ambiente Laboratorial;;;;;
LAGO DO JUNCO;95;1;;- Sistema de Informação de Mortalidade (SIM - DATASUS);;;;;
LAGO DOS RODRIGUES;161;2;;;;;;;
LAGO VERDE;323;1;;Taxa de ocupação de leitos: Número de leitos ocupados (UTI/Enfermaria) dividido pelo número total de leitos disponíveis. A extratificação é dividida em Grande Ilha, Imperatriz e Demais Regiões apenas da rede estadual de saúde.;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;88;1;;Fonte;;;;;
LAJEADO NOVO;35;0;;Central de Informação de Leitos (CIL);;;;;
LIMA CAMPOS;431;4;;;;;;;
LORETO;12;0;;;;;;;
LUÍS DOMINGUES;44;1;;;;;;;
MAGALHÃES DE ALMEIDA;98;4;;;;;;;
MARACAÇUMÉ;398;1;;;;;;;
MARAJÁ DO SENA;116;2;;;;;;;
MARANHÃOZINHO;292;3;;;;;;;
MATA ROMA;322;5;;;;;;;
MATINHA;203;1;;;;;;;
MATÕES;116;1;;;;;;;
MATÕES DO NORTE;136;1;;;;;;;
MILAGRES DO MARANHÃO;109;0;;;;;;;
MIRADOR;137;0;;;;;;;
MIRANDA DO NORTE;136;5;;;;;;;
MIRINZAL;90;6;;;;;;;
MONÇÃO;242;13;;;;;;;
MONTES ALTOS;145;2;;;;;;;
MORROS;123;5;;;;;;;
NINA RODRIGUES;110;2;;;;;;;
NOVA COLINAS;5;0;;;;;;;
NOVA IORQUE;9;0;;;;;;;
NOVA OLINDA DO MARANHÃO;239;2;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;367;3;;;;;;;
OLINDA NOVA DO MARANHÃO;194;4;;;;;;;
PAÇO DO LUMIAR;467;71;;;;;;;
PALMEIRÂNDIA;32;2;;;;;;;
PARAIBANO;133;1;;;;;;;
PARNARAMA;87;1;;;;;;;
PASSAGEM FRANCA;74;0;;;;;;;
PASTOS BONS;41;1;;;;;;;
PAULINO NEVES;105;1;;;;;;;
PAULO RAMOS;485;4;;;;;;;
PEDREIRAS;1181;21;;;;;;;
PEDRO DO ROSÁRIO;85;1;;;;;;;
PENALVA;192;5;;;;;;;
PERI-MIRIM;153;1;;;;;;;
PERITORÓ;319;2;;;;;;;
PINDARÉ-MIRIM;467;6;;;;;;;
PINHEIRO;1209;25;;;;;;;
PIO XII;619;4;;;;;;;
PIRAPEMAS;236;1;;;;;;;
POÇÃO DE PEDRAS;295;1;;;;;;;
PORTO FRANCO;263;6;;;;;;;
PORTO RICO DO MARANHÃO;77;1;;;;;;;
PRESIDENTE DUTRA;804;3;;;;;;;
PRESIDENTE JUSCELINO;26;0;;;;;;;
PRESIDENTE MÉDICI;160;0;;;;;;;
PRESIDENTE SARNEY;159;6;;;;;;;
PRESIDENTE VARGAS;36;0;;;;;;;
PRIMEIRA CRUZ;38;1;;;;;;;
RAPOSA;110;12;;;;;;;
RIACHÃO;50;0;;;;;;;
RIBAMAR FIQUENE;126;5;;;;;;;
ROSÁRIO;270;8;;;;;;;
