;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2840
AÇAILÂNDIA;2917;76;;3.122;159.427;134193;;10 a 19 anos;8881
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;21211
ÁGUA DOCE DO MARANHÃO;583;5;;CASOS NOVOS;;;;30 a 39 anos;28167
ALCÂNTARA;40;6;;Grande Ilha;63;;;40 a 49 anos;22506
ALDEIAS ALTAS;709;1;;Imperatriz;27;;;50 a 59 anos;15649
ALTAMIRA DO MARANHÃO;250;5;;Demais Regiões;838;;;60 a 70 anos;11498
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;9391
ALTO ALEGRE DO PINDARÉ;1288;10;;;;;;Não informado;14050
ALTO PARNAÍBA;122;1;;CASOS CONFIRMADOS;;;;TOTAL;134193
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;797;15;;Ativos;7093;Isolamento Domiciliar ;6650;;
ANAJATUBA;320;8;;;;Internação Enfermaria;262;Rede Pública;220
ANAPURUS;694;6;;;;;;Rede Privada;42
APICUM-AÇU;197;3;;;;Internação UTI;181;Rede Pública;155
ARAGUANÃ;480;2;;;;;;Rede Privada;26
ARAIOSES;536;10;;Óbitos;3228;;;; 
ARAME;693;7;;Recuperados;123872;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;123;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3081;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;133;2;;HOMEM;60362;45%;;Leitos ocupados;80
BACURI;408;3;;MULHER;73831;55%;;Leitos livres;302
BACURITUBA;39;0;;;;;;% de ocupação;20,94%
BALSAS;3430;21;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;15;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2923;24;;3184;3099;57;;Total de leitos UTI;152
BARREIRINHAS;515;23;;;;;;Leitos ocupados UTI;62
BELA VISTA DO MARANHÃO;122;3;;;;;;Leitos livres;90
BELÁGUA;201;1;;TESTES REALIZADOS;;;;% de ocupação UTI;40,79%
BENEDITO LEITE;88;0;;LABORATÓRIO PÚBLICO;2534;;;;
