;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
MUNICÍPIOS;CONFIRMADO;ÓBITO;;SUSPEITOS;DESCARTADOS;CONFIRMADOS;;0 a 9 anos;2909
AÇAILÂNDIA;2940;77;;3.347;162.238;136280;;10 a 19 anos;9081
AFONSO CUNHA;132;2;;;;;;20 a 29 anos;21591
ÁGUA DOCE DO MARANHÃO;589;5;;CASOS NOVOS;;;;30 a 39 anos;28675
ALCÂNTARA;40;6;;Grande Ilha;92;;;40 a 49 anos;22899
ALDEIAS ALTAS;741;4;;Imperatriz;49;;;50 a 59 anos;15890
ALTAMIRA DO MARANHÃO;250;5;;Demais Regiões;815;;;60 a 70 anos;11686
ALTO ALEGRE DO MARANHÃO;323;11;;;;;;Mais de 70 anos;9531
ALTO ALEGRE DO PINDARÉ;1288;12;;;;;;Não informado;14018
ALTO PARNAÍBA;135;1;;CASOS CONFIRMADOS;;;;TOTAL;136280
AMAPÁ DO MARANHÃO;3;0;;STATUS;QUANTIDADE;;;;
AMARANTE DO MARANHÃO;804;16;;Ativos;7706;Isolamento Domiciliar ;7261;;
ANAJATUBA;320;8;;;;Internação Enfermaria;260;Rede Pública;217
ANAPURUS;704;6;;;;;;Rede Privada;43
APICUM-AÇU;197;3;;;;Internação UTI;185;Rede Pública;160
ARAGUANÃ;480;2;;;;;;Rede Privada;25
ARAIOSES;537;10;;Óbitos;3253;;;; 
ARAME;694;7;;Recuperados;125321;;;;
ARARI;194;7;;;;;;GRANDE ILHA*;
AXIXÁ;123;3;;;;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BACABAL;3105;47;;CONTAGEM POR SEXO;QUANTIDADE;%;;Total de leitos;382
BACABEIRA;139;2;;HOMEM;61295;45%;;Leitos ocupados;79
BACURI;408;3;;MULHER;74985;55%;;Leitos livres;303
BACURITUBA;39;0;;;;;;% de ocupação;20,68%
BALSAS;3660;21;;PROFISSIONAIS DA SAÚDE;;;;;
BARÃO DE GRAJAÚ;16;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2932;24;;3203;3121;57;;Total de leitos UTI;152
BARREIRINHAS;547;23;;;;;;Leitos ocupados UTI;61
BELA VISTA DO MARANHÃO;122;3;;;;;;Leitos livres;91
BELÁGUA;201;1;;TESTES REALIZADOS;;;;% de ocupação UTI;40,13%
BENEDITO LEITE;89;0;;LABORATÓRIO PÚBLICO;2033;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;94;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;49;3;;BOLETIM ANTERIOR;299.071;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;301198;;;Total de leitos;578
BOM JARDIM;790;22;;;;;;Leitos ocupados;88
BOM JESUS DAS SELVAS;1442;10;;;;;;Leitos livres;490
BOM LUGAR;186;0;;ÓBITOS DE COVID-19;;;;% de ocupação;15,22%
BREJO;622;18;;;;;;;
BREJO DE AREIA;164;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;465;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;237;0;;10 a 19 anos;15;;;Leitos ocupados UTI;58
BURITICUPU;2092;4;;20 a 29 anos;31;;;Leitos livres;157
BURITIRANA;235;6;;30 a 39 anos;104;;;% de ocupação UTI;26,98%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;184;;;;
CAJAPIÓ;5;2;;50 a 59 anos;346;;;IMPERATRIZ;
CAJARI;121;4;;60 a 69 anos;754;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;314;3;;Mais de 70 anos;1800;;;Total de leitos;81
CÂNDIDO MENDES;27;4;;TOTAL;3253;;;Leitos ocupados;50
CANTANHEDE;381;3;;;;;;Leitos livres;31
CAPINZAL DO NORTE;338;1;;;;;;% de ocupação;61,73%
CAROLINA;283;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;314;17;;HOMEM;2007;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3521;70;;MULHER;1246;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;41
CENTRAL DO MARANHÃO;20;1;;;;;;Leitos livres;13
CENTRO DO GUILHERME;328;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;75,93%
CENTRO NOVO DO MARANHÃO;573;7;;COM COMORBIDADES ;2755;85%;;;
CHAPADINHA;2662;44;;SEM COMORBIDADES ;498;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;271;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1478;35;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1343;26;;NEUROLÓGICO;188;;;;
CONCEIÇÃO DO LAGO-AÇU;151;5;;ONCOLÓGICO;124;;;RAÇA/COR;
COROATÁ;862;10;;PNEUMOPATIA;47;;;AMARELA;24.921
CURURUPU;487;7;;CARDIOPATIA;396;;;BRANCA;14.076
DAVINÓPOLIS;235;7;;DOENÇA RENAL CRÔNICA;189;;;INDIGENA;867
DOM PEDRO;248;2;;DIABETES MELITUS;1246;;;PARDA;50.193
DUQUE BACELAR;321;7;;HIPERTENSÃO ARTERIAL;1805;;;PRETA;5.007
ESPERANTINÓPOLIS;616;13;;SEM COMORBIDADES;498;;;SEM INFORMAÇÃO;41.216
ESTREITO;1226;7;;OBESIDADE;136;;;TOTAL;136.280
FEIRA NOVA DO MARANHÃO;332;2;;OUTROS;438;;;;
FERNANDO FALCÃO;703;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;540;1;;;;;;PARDA;1588
FORTALEZA DOS NOGUEIRAS;432;0;;;;;;BRANCA;389
FORTUNA;374;1;;;;;;PRETA;215
GODOFREDO VIANA;83;3;;;;;;AMARELA;207
GONÇALVES DIAS;309;4;;;;;;INDÍGENA;27
GOVERNADOR ARCHER;260;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;234;4;;;;;;TOTAL;3.253
GOVERNADOR EUGÊNIO BARROS;186;0;;;;;;;
GOVERNADOR LUIZ ROCHA;97;0;;;;;;;
GOVERNADOR NEWTON BELLO;441;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2128;31;;;;;;;
GUIMARÃES;213;4;;;;;;;
